q_lat,q_log,q_heg,p_lat,p_log,p_heg,neg_lat,neg_log,neg_heg
6.540137288758744,46.53326591973135,571.2010227832943,6.540692542420815,46.53444160330017,571.2742847315967,6.544781715710807,46.53658555431845,649.9454193310812
6.542410386296053,46.53339130580078,518.2925564488396,6.543644619700857,46.53760841296843,518.1579917119816,6.544781715710807,46.53658555431845,649.9454193310812
6.538700116111507,46.53302842767902,530.9255620772019,6.54219170019624,46.53780469071802,531.035682644695,6.544781715710807,46.53658555431845,649.9454193310812
6.545659921221515,46.53573063783234,534.974023655057,6.538869701576864,46.53693421341386,535.0474719721824,6.544781715710807,46.53658555431845,649.9454193310812
6.54248361244132,46.53451336271026,608.5140667362139,6.540699554539973,46.53884866200599,608.663736932911,6.545684197332453,46.53489554483371,500.0110810697079
6.5424759441852,46.53346116168599,640.8079570513219,6.5424759441852,46.53346116168599,640.8079570513219,6.545684197332453,46.53489554483371,500.0110810697079
6.547917422237439,46.53576721612309,567.4298956152052,6.540130682657776,46.53840967115208,567.5199959464371,6.544781715710807,46.53658555431845,649.9454193310812
6.548293133911966,46.5379314885173,542.0512923169881,6.542734909959658,46.5349283536643,541.9584719501436,6.544781715710807,46.53658555431845,649.9454193310812
6.537336253576851,46.53196873284083,548.0407424587756,6.54366320956628,46.538563250020665,547.9831904508173,6.544781715710807,46.53658555431845,649.9454193310812
6.546423975782016,46.53699640472615,506.3570063784719,6.5465679849604985,46.53449344451334,506.3101237034425,6.544781715710807,46.53658555431845,649.9454193310812
6.537424426063053,46.536015323067424,550.6627542925999,6.5470407443973935,46.5314397053826,550.8246863540262,6.544781715710807,46.53658555431845,649.9454193310812
6.544432201471472,46.53562361628927,540.5475416854024,6.540210129819166,46.53537712813755,540.7681602798402,6.544781715710807,46.53658555431845,649.9454193310812
6.543343483461008,46.53714021924588,543.0524003719911,6.537733582877816,46.53264680392899,542.8914596857503,6.544781715710807,46.53658555431845,649.9454193310812
6.539654770164323,46.53323976227674,530.12791064661,6.53718974122091,46.53561581968147,530.1489383671433,6.544781715710807,46.53658555431845,649.9454193310812
6.541168876554785,46.534919362493326,589.9546607472003,6.545457375305453,46.53606399515076,589.965493414551,6.545684197332453,46.53489554483371,500.0110810697079
6.536372064838479,46.53739717086378,583.8290083734319,6.544895308922489,46.53126558731473,583.7891631973907,6.545684197332453,46.53489554483371,500.0110810697079
6.548869366260093,46.53518533130944,515.1025921097025,6.540862233017199,46.533782835566456,515.1106483684853,6.544781715710807,46.53658555431845,649.9454193310812
6.538422870833834,46.53589137175173,535.2382345544174,6.540355204870367,46.53669759126241,535.1910818861797,6.544781715710807,46.53658555431845,649.9454193310812
6.543174481925861,46.53504306121574,543.9490565108135,6.53822619581529,46.5359830155286,544.0802431851625,6.544781715710807,46.53658555431845,649.9454193310812
6.542566712920339,46.53524306001869,547.4403384514153,6.545973441179573,46.5336559448133,547.6167610958219,6.544781715710807,46.53658555431845,649.9454193310812
6.541066021247622,46.53608338790456,587.4915865641087,6.536262702932207,46.53878554914613,587.2869584420696,6.545684197332453,46.53489554483371,500.0110810697079
6.543383951287708,46.538210115646194,508.0976236946881,6.543920648437503,46.53342106161103,508.1302685001865,6.544781715710807,46.53658555431845,649.9454193310812
6.542686873865163,46.53830866127791,567.6901253778487,6.542959926228905,46.5322341335157,567.6268670260906,6.544781715710807,46.53658555431845,649.9454193310812
6.540645175616969,46.53454637384343,586.9637009957805,6.540443911663529,46.532335476533966,587.1127031063661,6.545684197332453,46.53489554483371,500.0110810697079
6.547115737616823,46.533178913791886,583.1904594805092,6.542784400467539,46.53710170203669,583.1169741833583,6.545684197332453,46.53489554483371,500.0110810697079
6.544553750579223,46.533475676786026,598.006282649003,6.548444031062587,46.53800134523731,597.9507777588442,6.545684197332453,46.53489554483371,500.0110810697079
6.54513556147715,46.5318569170498,596.6309157591313,6.545403549219729,46.53898794976934,596.5869773346931,6.545684197332453,46.53489554483371,500.0110810697079
6.53840025120836,46.536482190209,566.9312577312812,6.548312068883338,46.53704718928458,566.7782036811113,6.544781715710807,46.53658555431845,649.9454193310812
6.547754574872201,46.534994618866776,550.5218224860728,6.548858359292436,46.532477691119695,550.5535285677761,6.544781715710807,46.53658555431845,649.9454193310812
6.546438621229009,46.53168511500251,582.5884205689654,6.544448906971388,46.53438000077609,582.6271934229881,6.545684197332453,46.53489554483371,500.0110810697079
6.542959926228905,46.5322341335157,567.6268670260906,6.540523525056867,46.533436101415695,567.6306353183463,6.544781715710807,46.53658555431845,649.9454193310812
6.547857655221365,46.532671785303215,556.0796635514125,6.543099002563128,46.53626496569627,556.1537491958588,6.544781715710807,46.53658555431845,649.9454193310812
6.537104165897747,46.5340046827552,564.1771793039516,6.549034981922698,46.53381937584542,564.2263583466411,6.544781715710807,46.53658555431845,649.9454193310812
6.540565625074193,46.531692483440544,506.0147282192484,6.542591285873833,46.53446502572338,505.98542076628655,6.544781715710807,46.53658555431845,649.9454193310812
6.542061228840949,46.53303569992355,513.3923744698986,6.548048105467983,46.53945456283417,513.4141710419208,6.544781715710807,46.53658555431845,649.9454193310812
6.546874139626139,46.539335715241975,525.0958542004228,6.540700258629447,46.53189142270377,525.0724205486476,6.544781715710807,46.53658555431845,649.9454193310812
6.546503588187702,46.53689173582276,520.5920712416992,6.548933787682077,46.53591810416864,520.4607955887914,6.544781715710807,46.53658555431845,649.9454193310812
6.5412281760856725,46.531533777633456,562.3459073817357,6.541639086731764,46.535156704386615,562.2169541791081,6.544781715710807,46.53658555431845,649.9454193310812
